0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1965,12.596742690058477,96.79230409356725,9.572,29.778,176.044,19.934,97.241,31.258,1,0,0,0,0,0
1966,11.765,1.126,10.698,32.452,22.341,6.983,116.002,38.241,1,0,0,0,0,0
1967,-1.161,-0.124,10.574,31.269,-16.316,-6.24,94.634,32.001,1,0,0,0,0,0
1968,1.355,0.143,10.717,30.887,39.987,12.796,129.108,44.798,1,0,0,0,0,0
1969,16.824,1.803,12.52,35.162,-16.113,-7.218,105.54,37.58,1,0,0,0,0,0
1970,24.188,3.028,15.549,42.546,-19.969,-7.504,82.297,30.076,1,0,0,0,0,0
1971,18.373,2.857,18.405,49.069,23.1,6.947,98.705,37.023,1,0,0,0,0,0
1972,34.041,6.265,24.671,64.091,75.931,28.112,169.212,65.135,1,0,0,0,0,0
1973,60.319,14.881,39.552,100.077,50.952,33.187,248.783,98.322,1,0,0,0,0,0
1974,12.557,4.967,44.518,109.633,4.356,4.283,252.679,102.605,1,0,0,0,0,0
1975,20.486,9.12,53.638,128.458,12.403,12.726,276.205,115.331,1,0,0,0,0,0
1976,13.69,7.343,60.981,141.958,19.033,21.951,319.578,137.282,1,0,0,0,0,0
1977,11.893,7.253,68.234,154.48,1.963,2.695,316.904,139.977,1,0,0,0,0,0
1978,42.7,29.136,97.37,214.253,33.372,46.713,410.793,186.69,1,0,0,0,0,0
1979,52.863,51.473,148.843,318.056,51.765,96.64,605.437,283.33,1,0,0,0,0,0
1980,25.578,38.071,186.914,388.156,-12.362,-35.027,515.641,248.303,1,0,0,0,0,0
1981,22.244,41.577,228.491,460.988,6.623,16.445,534.137,264.748,1,0,0,0,0,0
1982,7.984,18.242,246.734,483.279,22.801,60.365,636.801,325.113,1,0,0,0,0,0
1983,9.947,24.542,271.275,516.385,34.402,111.844,831.767,436.957,1,0,0,0,0,0
1984,-4.192,-11.373,259.903,481.138,4.965,21.694,849.065,458.651,1,0,0,0,0,0
1985,7.287,18.94,278.843,501.829,10.253,47.027,910.061,505.678,1,0,0,0,0,0
1986,12.347,34.428,313.271,548.015,4.838,24.465,927.396,530.143,1,0,0,0,0,0
1987,3.228,10.113,323.384,549.899,9.212,48.835,984.523,578.978,1,0,0,0,0,0
1988,10.842,35.06,358.445,592.949,6.659,38.554,1021.539,617.532,1,0,0,0,0,0
1989,3.634,13.027,371.471,598.02,9.696,59.876,1090.539,677.408,1,0,0,0,0,0
1990,7.315,27.174,398.645,624.682,6.522,44.183,1130.74,721.591,1,0,0,0,0,0
1991,0.75,2.99,401.636,613.146,7.187,51.861,1180.769,773.452,1,0,0,0,0,0
1992,4.889,19.635,421.27,626.954,4.503,34.831,1202.924,808.283,1,0,0,0,0,0
1993,-2.048,-8.626,412.644,598.781,3.108,25.124,1209.343,833.407,1,0,0,0,0,0
1994,4.649,19.184,431.828,611.231,-5.251,-43.76,1117.706,789.646,1,0,0,0,0,0
1995,6.812,29.416,461.243,636.785,10.519,83.059,1204.841,872.705,1,0,0,0,0,0
1996,4.975,22.948,484.192,651.877,6.946,60.62,1256.555,933.325,1,0,0,0,0,0
1997,-2.007,-9.716,474.476,623.305,11.602,108.286,1368.336,1041.611,1,0,0,0,0,0
1998,5.24,24.861,499.337,640.251,6.5,67.705,1422.368,1109.316,1,0,0,0,0,0
1999,0.938,4.683,504.02,630.734,9.682,107.409,1522.621,1216.726,1,0,0,0,0,0
2000,10.476,52.803,556.822,679.92,11.037,134.287,1649.684,1351.012,1,0,0,0,0,0
2001,13.975,77.814,634.636,756.001,2.768,37.401,1653.928,1388.413,1,0,0,0,0,0
2002,5.673,36.0,670.636,779.255,4.387,60.906,1684.057,1449.319,1,0,0,0,0,0
2003,6.099,40.9,711.536,806.411,7.373,106.862,1763.679,1556.181,1,0,0,0,0,0
2004,10.058,71.57,783.106,865.519,5.112,79.552,1807.876,1635.733,1,0,0,0,0,0
2005,3.182,24.922,808.028,870.815,3.965,64.858,1832.735,1700.592,1,0,0,0,0,0
2006,4.421,35.72,843.748,886.531,8.282,140.85,1934.815,1841.442,1,0,0,0,0,0
2007,6.716,56.667,900.415,922.12,6.263,115.325,2003.936,1956.767,1,0,0,0,0,0
2008,3.897,35.088,935.503,933.653,3.667,71.755,2024.51,2028.522,1,0,0,0,0,0
2009,0.613,5.736,941.238,915.423,-5.696,-115.547,1860.508,1912.975,1,0,0,0,0,0
2010,4.269,40.181,981.42,930.05,5.316,101.687,1909.21,2014.662,1,0,0,0,0,0
2011,8.169,80.174,1061.593,980.527,-0.453,-9.132,1852.382,2005.53,1,0,0,0,0,0
2012,8.114,86.142,1147.735,1033.253,3.053,61.228,1860.607,2066.758,1,0,0,0,0,0
2013,1.994,22.884,1170.619,1026.696,-3.692,-76.296,1745.742,1990.462,1,0,0,0,0,0
